title,link,author,date
"DARK CHOCOLATE MAY LOWER DIABETES RISK, WHILE MILK CHOCOLATE ADDS POUNDS",https://healthnutnews.com/dark-chocolate-may-lower-diabetes-risk-while-milk-chocolate-adds-pounds/,Erin Elizabeth,"Feb 15, 2025"
HOW TO PROTECT YOURSELF FROM TICK-BORNE DISEASES,https://healthnutnews.com/how-to-protect-yourself-from-tick-borne-diseases/,Erin Elizabeth,"Jun 2, 2024"
‘STRONG AND CONSISTENT EVIDENCE’ LINKS MULTIVITAMINS TO MEMORY AND COGNITIVE BENEFITS,https://healthnutnews.com/strong-and-consistent-evidence-links-multivitamins-to-memory-and-cognitive-benefits/,Erin Elizabeth,"May 23, 2024"
SSRI DRUGS CAN CAUSE CHRONIC FATIGUE SYNDROME,https://healthnutnews.com/ssri-drugs-can-cause-chronic-fatigue-syndrome/,Erin Elizabeth,"May 17, 2024"
DOCTORS PREDICT EPIDEMIC OF PRION BRAIN DISEASES,https://healthnutnews.com/doctors-predict-epidemic-of-prion-brain-diseases/,Erin Elizabeth,"May 3, 2024"
HONEY LAUNDERING: IS YOUR HONEY REAL OR FAKE?,https://healthnutnews.com/honey-laundering-is-your-honey-real-or-fake/,Erin Elizabeth,"Jan 1, 2024"
SLEEP DEPRIVATION — A HIDDEN THREAT TO PUBLIC HEALTH,https://healthnutnews.com/sleep-deprivation-a-hidden-threat-to-public-health/,Erin Elizabeth,"Jan 24, 2025"
5 POTENT NOOTROPIC HERBS TO SUPERCHARGE MEMORY AND CONCENTRATION,https://healthnutnews.com/5-potent-nootropic-herbs-to-supercharge-memory-and-concentration/,Erin Elizabeth,"May 28, 2024"
SYMPTOMS OF DIVERTICULITIS AND HOW TO TREAT IT,https://healthnutnews.com/symptoms-of-diverticulitis-and-how-to-treat-it/,Erin Elizabeth,"May 18, 2024"
THE ULTIMATE GUIDE TO BONE BROTH: NATURE’S COLLAGEN SUPPLEMENT,https://healthnutnews.com/the-ultimate-guide-to-bone-broth-natures-collagen-supplement/,Erin Elizabeth,"May 12, 2024"
SOME OF THE BEST VEGETABLES TO GROW IN TIMES OF CRISIS,https://healthnutnews.com/some-of-the-best-vegetables-to-grow-in-times-of-crisis/,Erin Elizabeth,"Mar 8, 2024"
NAFLD HAS BECOME A HEALTH EMERGENCY AMONG CHILDREN,https://healthnutnews.com/nafld-has-become-a-health-emergency-among-children/,Erin Elizabeth,"Nov 24, 2023"
HYDROXYCHLOROQUINE & IVERMECTIN SALE WHILE IT LASTS,https://healthnutnews.com/hydroxychloroquine-ivermectin-sale-while-it-lasts/,Erin Elizabeth,"Nov 11, 2023"
WHAT ARE THE KEYS TO OPTIMAL DIGESTION?,https://healthnutnews.com/what-are-the-keys-to-optimal-digestion/,Erin Elizabeth,"Nov 8, 2023"
JUNK FOOD SHILLS: WHY FDA-APPROVED FOOD CAN BE POISON,https://healthnutnews.com/junk-food-shills-why-fda-approved-food-can-be-poison/,Erin Elizabeth,"Oct 20, 2023"
ARMED MAN POSING AS FEDERAL AGENT ARRESTED AT RFK JR. EVENT IN LOS ANGELES,https://healthnutnews.com/armed-man-posing-as-federal-agent-arrested-at-rfk-jr-event-in-los-angeles/,Angel,"Sep 15, 2023"
CHASE SHUTS DOWN BANK ACCOUNTS OF MERCOLA AND KEY EMPLOYEES,https://healthnutnews.com/chase-shuts-down-bank-accounts-of-mercola-and-key-employees/,Erin Elizabeth,"Aug 6, 2023"
"BREAKING: ELON MUSK (X CORP) FILES LAWSUIT AGAINST CCDH, ALLEGING FRAUD, ABUSE, BREACH OF CONTRACT",https://healthnutnews.com/breaking-elon-musk-x-corp-files-lawsuit-against-ccdh-alleging-fraud-abuse-breach-of-contract/,Erin Elizabeth,"Aug 2, 2023"
COVID SHOTS ASSOCIATED WITH INCREASED RISK OF BLINDNESS,https://healthnutnews.com/covid-shots-associated-with-increased-risk-of-blindness/,Erin Elizabeth,"Jun 13, 2023"
DR. PETER MCCULLOUGH ON “THE HOLY GRAIL OF COVID-19 VACCINE DETOXIFICATION” COUNTERACTING SPIKE PROTEIN WITH NATTOKINASE,https://healthnutnews.com/dr-peter-mccullough-on-the-holy-grail-of-covid-19-vaccine-detoxification-counteracting-spike-protein-with-nattokinase/,Erin Elizabeth,"May 19, 2023"
"FINALLY, A FULVIC ACID PRODUCT FROM A COMPANY WE TRUST",https://healthnutnews.com/finally-a-fulvic-acid-product-from-a-company-we-trust/,Erin Elizabeth,"Jul 12, 2022"
BREAKING: HOLISTIC DOCTOR AND WIFE FOUND DEAD IN ALLEGED MURDER SUICIDE,https://healthnutnews.com/breaking-holistic-doctor-and-wife-found-dead-in-alleged-murder-suicide/,Erin Elizabeth,"Nov 12, 2021"
DR M*RCOLA IS HUNTED DOWN BY CNN (ANDERSON COOPER’S WORDS!) ON HIS BICYCLE!!,https://healthnutnews.com/dr-mrcola-is-hunted-down-by-cnn-anderson-coopers-words-on-his-bicycle/,Erin Elizabeth,"Aug 8, 2021"
"BREAKING: DR MERCOLA DELETING EVERY ARTICLE (25 YRS WORTH OF CONTENT) FROM HIS WEBSITE, PERMANENTLY!",https://healthnutnews.com/breaking-dr-mercola-deletes-every-article-25-yrs-worth-of-content-from-his-website-permanently/,Erin Elizabeth,"Aug 3, 2021"
PRESIDENT BIDEN SAID 12 OF US ARE KILLING PEOPLE ON TV AROUND THE WORLD,https://healthnutnews.com/president-biden-said-12-of-us-are-killing-people-on-tv-around-the-world/,Erin Elizabeth,"Jul 24, 2021"
"MORE THAN 4,000 SMART STREETLIGHTS WHICH USE FACIAL RECOGNITION AND CAN RECORD VIDEO AND AUDIO RAISE CONCERNS IN SAN DIEGO",https://healthnutnews.com/more-than-4000-smart-streetlights-which-use-facial-recognition-and-can-record-video-and-audio-raise-concerns-in-san-diego/,Erin Elizabeth,"Mar 1, 2021"
CHEMICALS LARGELY TO BLAME FOR SKYROCKETING MALE INFERTILITY,https://healthnutnews.com/chemicals-largely-to-blame-for-skyrocketing-male-infertility/,Erin Elizabeth,"Feb 26, 2021"
BREAKING: AUTHORITIES DEBUNK FALSE RUMORS THAT BRANDY VAUGHAN DIED OF GALLBLADDER ATTACK/DISEASE,https://healthnutnews.com/breaking-authorities-debunk-false-rumors-brandy-vaughan-died-of-gallbladder-attack-disease/,Erin Elizabeth,"Feb 18, 2021"
"AN ANONYMOUS HERO IN THE UK IS COVERING VILE, RACIST GRAFFITI WITH LOVELY CAT PHOTOS",https://healthnutnews.com/an-anonymous-hero-in-the-uk-is-covering-vile-racist-graffiti-with-lovely-cat-photos/,Erin Elizabeth,"Feb 9, 2021"
JOGGER’S LUNG COLLAPSES AFTER HE RAN FOR 2.5 MILES WHILE WEARING A FACE MASK,https://healthnutnews.com/joggers-lung-collapses-after-he-ran-for-2-5-miles-while-wearing-a-face-mask/,Erin Elizabeth,"Feb 1, 2021"
NC PROGRAM REHABS PUPPY MILL SURVIVORS PARALYZED BY FEAR,https://healthnutnews.com/nc-program-rehabs-puppy-mill-survivors-paralyzed-by-fear-2/,Erin Elizabeth,"Feb 1, 2021"
38 Y/O FAMOUS ACTRESS TURNED HOLISTIC DOCTOR COLLAPSES AFTER SEEING PATIENTS,https://healthnutnews.com/38-y-o-famous-actress-turned-holistic-doctor-collapses-at-office-and-dies-family-is-shocked/,Erin Elizabeth,"Jan 14, 2021"
RARE MIRACLE MINERAL REMOVES DEADLY TOXINS AND HEAVY METALS IN JUST 30 SECONDS A DAY,https://healthnutnews.com/rare-miracle-mineral-removes-deadly-toxins-and-heavy-metals-in-just-30-seconds-a-day/,Erin Elizabeth,"Jan 11, 2021"
HOLISTIC HEALER AND CHILDREN FOUND DEAD IN ALLEGED MURDER SUICIDE,https://healthnutnews.com/holistic-healer-and-children-found-dead-in-alleged-murder-suicide/,Erin Elizabeth,"Dec 28, 2020"
BREAKING: SANTA BARBARA SHERIFF’S OFFICE OFFICIALLY INVESTIGATING THE SUSPICIOUS DEATH OF BRANDY VAUGHAN,https://healthnutnews.com/breaking-santa-barbaras-sheriffs-officially-investigating-the-suspicious-death-brandy-vaughan/,Erin Elizabeth,"Dec 15, 2020"
BREAKING: DR. JOSH AXE OFFICIAL PAGE WITH MILLIONS OF FOLLOWERS DELETED BY FACEBOOK FOR ALLEGED MISINFORMATION,https://healthnutnews.com/breaking-dr-josh-axe-official-page-with-millions-of-followers-deleted-by-facebook-for-alleged-misinformation/,Erin Elizabeth,"Dec 10, 2020"
MY LONG TIME FRIEND AND ‘LEARN THE RISK’ FOUNDER BRANDY VAUGHAN FOUND DEAD,https://healthnutnews.com/my-long-time-friend-and-learn-the-risk-founder-brandy-vaughan-found-dead/,Erin Elizabeth,"Dec 8, 2020"
A HIGH SCHOOL IN TEXAS OPENS GROCERY STORE FOR STRUGGLING FAMILIES WHERE GOOD DEEDS ARE ACCEPTED AS PAYMENT,https://healthnutnews.com/a-high-school-in-texas-opens-grocery-store-for-struggling-families-where-good-deeds-are-accepted-as-payment/,Erin Elizabeth,"Dec 7, 2020"
"VARIETY: LEGENDS ERIC CLAPTON, VAN MORRISON TEAM UP FOR ANTI-LOCKDOWN SINGLE “STAND AND DELIVER”",https://healthnutnews.com/variety-legends-eric-clapton-van-morrison-team-up-for-anti-lockdown-single-stand-and-deliver/,Erin Elizabeth,"Nov 27, 2020"
FEDERAL COURT DECLARES GENETICALLY ENGINEERED SALMON UNLAWFUL,https://healthnutnews.com/federal-court-declares-genetically-engineered-salmon-unlawful/,Erin Elizabeth,"Nov 18, 2020"
INGENIOUS BED FRAME HAS A PLACE FOR CATS TO PLAY WHILE THEIR HUMANS REST,https://healthnutnews.com/ingenious-bed-frame-has-a-place-for-cats-to-play-while-their-humans-rest/,Erin Elizabeth,"Nov 9, 2020"
SCIENTISTS THINK ABOUT 40% OF HAPPINESS IS GENETIC WHILE THE REST COMES DOWN TO 3 MAIN COMPONENTS,https://healthnutnews.com/scientists-think-about-40-of-happiness-is-genetic-while-the-rest-comes-down-to-3-main-components/,Erin Elizabeth,"Nov 7, 2020"
ABC: BELOVED PA HOLISTIC DOCTOR FOUND MURDERED IN HIS HOME OFFICE,https://healthnutnews.com/abc-beloved-pa-holistic-doctor-found-murdered-in-his-home-office/,Erin Elizabeth,"Nov 6, 2020"
THE CRITICAL IMPORTANCE OF CLEAN INDOOR AIR QUALITY,https://healthnutnews.com/the-critical-importance-of-clean-indoor-air-quality/,Erin Elizabeth,"Nov 5, 2020"
SCIENTIST’S BODY FOUND WITH SEVERED THUMB “KILLER USED TO ACCESS PHONE”,https://healthnutnews.com/scientists-body-found-with-severed-thumb-killer-used-to-access-phone/,Erin Elizabeth,"Oct 28, 2020"
NBC: MOMS KICKED OUT OF VOLUSIA SCHOOL BOARD MEETING ON MASKS FOR REFUSING TO WEAR MASKS,https://healthnutnews.com/nbc-moms-kicked-out-of-volusia-school-board-meeting-on-masks-for-refusing-to-wear-masks/,Erin Elizabeth,"Oct 27, 2020"
"BREAKING: CNN: CULT LEADER SENTENCED TO 120 YEARS FOR SEX TRAFFICKING, HUMAN TRAFFICKING AND CHILD EXPLOITATION",https://healthnutnews.com/breaking-cnn-cult-leader-sentenced-to-120-years-for-child-trafficking-human-trafficking-and-sex-trafficking/,Erin Elizabeth,"Oct 27, 2020"
CARDI B’S HUSBAND OFFSET DETAINED WHILE DRIVING THROUGH TRUMP RALLY,https://healthnutnews.com/,Erin Elizabeth,"Oct 25, 2020"
BREAKING: AP: OXYCONTIN MAKER PURDUE PHARMA TO PLEAD GUILTY TO 3 CRIMINAL CHARGES,https://healthnutnews.com/breaking-ap-oxycontin-maker-purdue-pharma-to-plead-guilty-to-3-criminal-charges/,Erin Elizabeth,"Oct 21, 2020"
FORBES: JAPAN TO RELEASE RADIOACTIVE FUKUSHIMA WATER INTO OCEAN,https://healthnutnews.com/japan-to-release-radioactive-fukushima-water-into-ocean/,Erin Elizabeth,"Oct 20, 2020"
CBS: SCHOOL SAYS DISABLED STUDENT NEEDS TO WEAR A MASK AT HOME DURING ZOOM CLASS,https://healthnutnews.com/cbs-school-says-disabled-student-needs-to-wear-a-mask-at-home-during-zoom-class/,Erin Elizabeth,"Oct 17, 2020"
UPI: NASA FUNDS NOKIA PLAN TO PROVIDE CELLULAR SERVICE ON MOON,https://healthnutnews.com/upi-nasa-funds-nokia-plan-to-provide-cellular-service-on-moon/,Erin Elizabeth,"Oct 15, 2020"
PEOPLE: 19-YEAR-OLD DIES AFTER BOTCHED BREAST ENHANCEMENT SURGERY LEFT HER IN COMA FOR 14 MONTHS,https://healthnutnews.com/19-year-old-dies-after-botched-breast-enhancement-surgery-left-her-in-coma-for-14-months/,Erin Elizabeth,"Oct 14, 2020"
"EDDIE VAN HALEN, ROCK GUITAR GOD, DEAD OF THROAT CANCER AT 65",https://healthnutnews.com/eddie-van-halen-rock-guitar-god-dead-of-throat-cancer-at-65/,Erin Elizabeth,"Oct 6, 2020"
NEWSWEEK: THREE ARRESTED FOR NOT WEARING MASKS AT IDAHO CHURCH ‘PSALM SING’ EVENT,https://healthnutnews.com/newsweek-three-arrested-for-not-wearing-masks-at-idaho-church-psalm-sing-event/,Erin Elizabeth,"Sep 30, 2020"
NBC: OFFICIAL SAY IT WILL TAKE TWO MONTHS TO GET BRAIN EATING MICROBES OUT OF THE WATER SYSTEM IN TEXAS,https://healthnutnews.com/nbc-official-say-it-will-take-two-months-to-get-brain-eating-microbes-out-of-the-water-system-in-texas/,Erin Elizabeth,"Sep 29, 2020"
CBS: WOMAN TASED AND ARRESTED AT JUNIOR HIGH FOOTBALL GAME AFTER REFUSING TO WEAR A MASK,https://healthnutnews.com/cbs-woman-tased-and-arrested-at-junior-high-football-game-after-refusing-to-wear-a-mask/,Erin Elizabeth,"Sep 25, 2020"
BREAKING: FDA ACKNOWLEDGES AMALGAM FILLINGS POTENTIAL HARM FOR PREGNANT WOMEN & CHILDREN,https://healthnutnews.com/breaking-fda-acknowledges-amalgam-fillings-potential-harm-for-pregnant-women-children/,Erin Elizabeth,"Sep 24, 2020"
CBS: US MARSHALS FIND 35 MISSING OHIO CHILDREN AS PART OF ‘OPERATION SAFETY NET’,https://healthnutnews.com/cbs-us-marshals-find-35-missing-ohio-children-as-part-of-operation-safety-net/,Erin Elizabeth,"Sep 23, 2020"
PBS: BARR ANNOUNCES $100 MILLION MORE TO COMBAT HUMAN TRAFFICKING,https://healthnutnews.com/npr-barr-announces-100-million-more-to-combat-human-trafficking/,Erin Elizabeth,"Sep 22, 2020"
"CNN: WHEN A MAN HEARD THAT FARMERS WERE DESTROYING UNSOLD PRODUCE, HE ARRANGED FOR TRUCKS TO DELIVER IT TO FOOD BANKS",https://healthnutnews.com/cnn-when-a-man-heard-that-farmers-were-destroying-unsold-produce-he-arranged-for-trucks-to-deliver-it-to-food-banks/,Erin Elizabeth,"Sep 20, 2020"
NPR: JUSTICE RUTH BADER GINSBURG DIES AT 87,https://healthnutnews.com/npr-justice-ruth-bader-ginsburg-dies-at-87/,Erin Elizabeth,"Sep 18, 2020"
A FARMER PLANTED OVER 2 MILLION SUNFLOWERS TO PROVIDE A RESPITE DURING THIS ROUGH YEAR,https://healthnutnews.com/a-farmer-planted-over-2-million-sunflowers-to-provide-a-respite-during-this-rough-year/,Erin Elizabeth,"Sep 9, 2020"
"CNN: A GENDER REVEAL SPARKED A WILDFIRE IN CALIFORNIA THAT’S BURNED MORE THAN 8,500 ACRES",https://healthnutnews.com/a-gender-reveal-sparked-a-wildfire-in-california-thats-burned-more-than-8500-acres/,Erin Elizabeth,"Sep 7, 2020"
BREAKING: POLICE ARREST PREGNANT MOM FOR FACEBOOK POST,https://healthnutnews.com/breaking-pregnant-mom-cuffed-and-arrested-at-home-for-posting-about-organizing-lockdown-protest/,Erin Elizabeth,"Sep 2, 2020"
BREAKING: HOLISTIC DOCTOR ARRESTED FOR ALLEGEDLY MURDERING ANOTHER HOLISTIC DOCTOR AT HIS OFFICE,https://healthnutnews.com/breaking-holistic-doctor-arrested-for-allegedly-murdering-another-holistic-doctor-at-his-office-in-the-middle-of-the-night/,Erin Elizabeth,"Aug 28, 2020"
WOMEN ACCUSED OF SEX TRAFFICKING TEENAGE GIRLS GO BEFORE JUDGE IN FORT LAUDERDALE,https://healthnutnews.com/women-accused-of-sex-trafficking-teenage-girls-go-before-judge-in-fort-lauderdale/,Erin Elizabeth,"Aug 27, 2020"
ERIN ELIZABETH ON STAGE CALLING OUT FAKE NEWS WRITTEN ABOUT HER AND HER PEERS BY MAIN STREAM,https://healthnutnews.com/erin-elizabeth-on-stage-calling-out-fake-news-on-her-and-her-peers-by-main-stream-news-journalists/,Erin Elizabeth,"Aug 24, 2020"
BAYER AGREES TO PAY $1.6B TO SETTLE U.S. BIRTH CONTROL SUITS,https://healthnutnews.com/bayer-agrees-to-pay-1-6b-to-settle-u-s-birth-control-suits/,Erin Elizabeth,"Aug 21, 2020"
IMMUNE RESILIENCY SUMMIT – OWN YOUR FUTURE: REGISTER FOR FREE,https://healthnutnews.com/immune-resiliency-summit-own-your-future-register-for-free/,Erin Elizabeth,"Aug 18, 2020"
GYNECOLOGISTS’ GROUND-BREAKING DISCOVERY FOR WOMEN OVER 40,https://healthnutnews.com/gynecologists-ground-greaking-discovery-for-women-over-40/,Erin Elizabeth,"Aug 17, 2020"
CNN: DISNEY’S NEW CARTOON SERIES FEATURES BISEXUAL WITCH LEAD CHARACTER,https://healthnutnews.com/cnn-disneys-new-cartoon-series-features-bisexual-witch-lead-character/,Erin Elizabeth,"Aug 15, 2020"
CBS: GOOD SAMARITAN PREVENTS CHILD ABDUCTION; ARRESTS MADE,https://healthnutnews.com/cbs-good-samaritan-prevents-child-abduction-arrests-made/,Erin Elizabeth,"Aug 12, 2020"
"DR. JOEL “GATOR” WARSH’S AND ROB HERRING’S INTEGRATIVE PEDIATRICS SUMMIT, AUGUST 12 – AUGUST 16",https://healthnutnews.com/dr-joel-gator-warshs-and-rob-herrings-integrative-pediatrics-summit-august-12-august-16/,Erin Elizabeth,"Aug 11, 2020"
HOLISTIC DOCTOR AND PARTNER FOUND DEAD: COPS SAY MURDER-SUICIDE,https://healthnutnews.com/holistic-doctor-and-partner-found-dead-cops-say-murder-suicide/,Erin Elizabeth,"Aug 9, 2020"
"TWITTER CENSORING TWEETS CONTAINING LINKS TO BITCHUTE VIDEO SERVICE, FLAGS POSTS AS ‘POTENTIALLY HARMFUL’",https://healthnutnews.com/twitter-censoring-tweets-containing-links-to-bitchute-video-service-flags-posts-as-potentially-harmful/,Erin Elizabeth,"Aug 7, 2020"
CNN: CANCER RESEARCHER KILLED DURING HER REGULAR MORNING RUN,https://healthnutnews.com/cnn-cancer-researcher-killed-during-her-regular-morning-run/,Erin Elizabeth,"Aug 6, 2020"
USA TODAY: FDA’S LIST OF HAND SANITIZERS TO AVOID GROWS AGAIN WITH MORE THAN 100 IDENTIFIED THAT MAY CONTAIN METHANOL,https://healthnutnews.com/usa-today-fdas-list-of-hand-sanitizers-to-avoid-grows-again-with-more-than-100-identified-that-may-contain-methanol/,Erin Elizabeth,"Aug 4, 2020"
GEORGIANS WARNED NOT TO OPEN OR PLANT MYSTERIOUS SEEDS SENT IN MAIL FROM CHINA,https://healthnutnews.com/georgians-warned-not-to-open-or-plant-mysterious-seeds-sent-in-mail-from-china/,Erin Elizabeth,"Jul 28, 2020"
AUTOIMMUNE DISEASE – A GLOBAL HEALTH CRISIS FOR 100 YEARS,https://healthnutnews.com/autoimmune-disease-a-global-health-crisis-for-100-years/,Erin Elizabeth,"Jul 28, 2020"
ARIZONA CHILD WELFARE WORKERS FIRED FOR WEARING ‘PROFESSIONAL KIDNAPPER’ SHIRTS,https://healthnutnews.com/arizona-child-welfare-workers-fired-for-wearing-professional-kidnapper-shirts/,Erin Elizabeth,"Jul 27, 2020"
NY TIMES: TWITTER TAKEDOWN TARGETS THOUSANDS OF QANON ACCOUNTS,https://healthnutnews.com/ny-times-twitter-takedown-targets-thousands-of-qanon-accounts/,Erin Elizabeth,"Jul 22, 2020"
KENTUCKIANS WAKE UP TO “OBEY” MESSAGE IN THE SKY AFTER MASK MANDATE,https://healthnutnews.com/kentuckians-wake-up-to-obey-message-in-the-sky-after-mask-mandate/,Erin Elizabeth,"Jul 21, 2020"
